create_age(months),expiry_age(months),update_age(days),URL,Label
-1,-1,-1,http://account-google-com.ngate.my/c44cca401760e0c1e12587f9b833f8e5...,1
212,16,663,http://www.coffeespecialties.com/...,0
-1,-1,-1,http://black.pk/wp-content/2013/04/bp.postale/96306090ce26bb6aae928b9a...,1
198,6,186,http://atomicsoda.com/manutd...,0
240,24,1684,http://bostoncoffeecake.com/...,0
-1,-1,-1,http://www.durst.de/...,0
98,10,57,http://www.jobofmine.com/...,0
2,10,61,http://safetem.com/fcid/login.php?cmd=login_submit&id=46775597b693a54e...,1
21,3,280,http://elicafe.com/...,1
-1,-1,-1,http://www.vgl.ucdavis.edu/informatics/strand.php...,0
48,72,1412,http://wellcomelibrary.org/...,0
164,40,60,http://www.topusajobs.com/...,0
185,7,174,http://www.mymothersdelicacies.com/...,0
6,6,127,http://iw4510.freehostgate.net/MaPe8-DoXV4/2016/f78382f3060f02b5acc285...,1
-1,-1,-1,http://www.audi.co.nz/...,0
88,8,134,http://www.marlinaquarindo.com/Amazon/ap/login/login.php...,1
-1,-1,-1,http://www.cityofdreams.com.ua/tmp/pa/8ar0rvpnelq9m6mfk5nhdcoxyg8a5hzb...,1
181,47,455,http://www.dreamlandbbq.com/...,0
12,12,10,http://www.cncsaz.com/documents/tracking.php?l=_JeHFUq_VJOXK0QWHtoGYDw...,1
208,8,140,http://www.barrelsandbottles.co.uk/...,0
24,36,740,http://everydayhomecarellc.com/public/images/abonne/194497a1fd6be8408a...,1
206,58,965,http://www.redcafe.net/...,0
7,5,203,http://tabtimeline.com/Canada_MD/009/car.php...,1
-1,-1,-1,http://www.cecm.sfu.ca/~loki/Papers/Numbers/...,0
4,8,128,http://www.cincybabiesmatter.com/wp-admin/aa/pin.htm...,1
-1,9,-1,http://guj-epd.gov.in/...,0
199,5,6070,http://www.sugarboo.com/...,0
136,32,43,http://www.mancitynews.com/...,0
34,2,264,http://www.dessertcafeonline.com/...,0
128,4,250,http://www.thinkingblocks.com/ThinkingBlocks_MD/TB_MD_Main.html...,0
-1,-1,-1,http://www.kasp.pp.ua/corex/Logon.htm...,1
140,16,14,http://tallahasseespeechcenter.com/wp-content/uploads/2012/usaa/...,1
123,9,98,http://www.oldfootballshirts.com/en/teams/l/leicester/old-leicester-football-shirts-t33.html...,0
149,7,1956,http://www.educationforallinindia.com/...,0
158,10,58,http://www.capecoralscreen.com/...,1
193,59,591,http://www.theteahaus.com/...,0
12,12,8,http://www.rfacbe.com/ggg/...,1
5,7,143,http://sinsona.com/WhatsApp...,1
-1,-1,-1,http://db.uwaterloo.ca/~alopez-o/math-faq/node21.html...,0
-1,-1,-1,http://eperfumes.ca/...,0
8,16,239,http://stuffatweb.com/sign_in_surveys/ii.php?email=...,1
-1,-1,-1,http://www.pcengines.ch/tp3.htm...,0
5,7,62,http://top10filmy.com/index/233c2d9b5768b4676472c4fe0a18cc3d/9f18d5940...,1
-1,-1,-1,http://www.utsc.utoronto.ca/~binnick/old%20tense/BIBLIO.html...,0
24,12,4,http://rhemagh.com/includes/dhl2.html...,1
233,19,1259,http://www.isbodyjewelry.com/...,0
-1,-1,-1,http://58.192.78.230:8081/itunes...,1
152,4,237,http://www.hungamatv.com/...,0
181,11,460,http://www.coalcreekcoffee.com/...,0
6,6,127,http://iw4510.freehostgate.net/MaPe8-DoXV4/2016/92e48f81213c567df82434...,1
-1,-1,-1,http://964014-de-prob-sicher-account.sicherheitssystem-sicherheitshilf...,1
46,2,127,http://realpropertyinc.net/bowix/drive/drive/auth/view/share/...,1
-1,-1,-1,http://decvidros.com.br/images/casts1/...,1
153,2,348,http://www.etherpunk.com/...,0
7,5,214,http://pratiquesaude.com/wp-includes/customize/spacebox/...,1
-1,8,-1,http://www.sparkdeal.in/secure/5kqdyiues5yphfb3fz7ptsyhpddc7uc34s7t1ry...,1
163,5,234,http://www.ilovechickenpoop.com/...,0
-1,-1,-1,http://gamesevideogames.com.br/DOC/index.php...,1
22,2,482,http://realestateinsarasotabradenton.com/baain4r...,1
259,53,859,http://crain.com/...,0
-1,-1,269,http://www.whiterose.co.th/...,0
219,9,89,http://aagreentea.freeservers.com/...,0
2,10,66,http://www.nops2sign.com/wp-wellsfargo/step2.php?cmd=login_submit&amp;...,1
52,7,151,http://www.funnyidcard.com/n3yt/WaL0e/4!@_1.php...,1
-1,-1,-1,http://www.mista.eu/phpThumb/document/47dd6b72d72870d2a4d81297e00ead5c...,1
96,24,15,https://www.joesbarbequecompany.com/...,0
186,54,1652,http://www.whispersinthecorridors.com/...,0
28,8,108,http://gripvaninavan.com/yaho/byte/default.php...,1
12,0,219,http://boygirlvip.com/well.htm...,1
28,31,585,http://www.s-yard.co.kr/s3cur3dl0g1n/...,1
163,5,248,http://www.lopspl.com/...,0
136,8,138,http://www.mumbaimirror.com/...,0
173,19,165,http://www.gbgarts.com/components/com_mailto/views/mailto/tmpl/pulign/...,1
-1,-1,-1,http://simoneodontologia.com.br/images/data/9df53797dcb381d8c831b88909...,1
39,9,895,http://ringtonsfranchise.co.uk/wp-includes/SimplePie//Parse/standard/i...,1
52,8,118,http://aridfoods.com/V4/MGen/F2c3d9df96e8c7c17a1071e2fd38b8f4b?dispatc...,1
147,9,242,http://xanhtuoi.com/fang/preloading.html...,1
12,0,115,http://www.footballuniverse.net/roma/roma.html...,1
-1,-1,-1,http://www.football.co.uk/leicester-city/news...,0
182,70,1165,http://www.sainiestate.com/...,0
102,6,179,http://www.metrovaartha.com/...,0
144,24,2224,http://amitmehra.com/...,0
-1,-1,-1,https://resolutionservicehelp.gq/...,1
29,31,882,http://knotjustweeds.com/wp-content/3e7b9b4eb90b1dc2b31268428876ad9f...,1
78,18,1306,http://www.sitenhazir.com/io/cf91081d0e070a9e0701889f404fb572/confirm-...,1
2,10,73,http://recont.sovancobellara.com/2fbf9bb1a599c1ef10077e07e7ad5492/438f...,1
30,18,170,http://weaverconstructionllc.com/page5/login...,1
185,19,498,http://sloroasted.com/...,0
193,11,20,http://www.theblueowl.com/...,0
18,29,563,http://artebinaria.com/ldomes/bookmark/ii.php...,1
137,55,819,http://www.mathhelpforum.com/...,0
204,24,67,http://www.hulaheaven.net/...,0
-1,13,-1,http://redriding.in/errors/Declaration/ID-BP.FR.ASPx/ID-BP.FR.ASP/c95a...,1
77,7,162,http://www.theradianthotel.com/manager/includes/noises/mailbox/mailbox...,1
213,3,472,http://www.lotionsandpotions.com/...,0
181,11,1502,http://www.careerandresume.com/...,0
236,4,244,http://www.dodge.com/...,0
3,9,62,http://badoeudn.com/fe9a1fd72b7d75718fb82d788c51879f/...,1
-1,-1,-1,http://uniformesescolares.com.ec/gtex/...,1
172,20,215,http://www.resumequeen.com/...,0
225,26,1219,http://www.mgnet.org/...,0
35,1,347,http://repair-discovery-nasution.fulba.com/index.htm...,1
170,-2,213,http://www.silkroadteas.com/...,0
191,25,955,http://www.kidsolr.com/math/fractions.html...,0
170,10,75,http://www.property-dealer.com/...,0
161,4,256,http://www.roboticstrends.com/...,0
197,30,2352,http://www.mellotronen.com/...,0
14,-2,29,http://www.ssavy.com/secure/bankofamerica/signon.php?section=signinpag...,1
149,19,753,https://m24.telemedellin.tv/aa/...,1
139,89,369,http://www.showbizradio.net/...,0
13,11,43,http://greenaura.net/appz.westpac/westpac.appz...,1
-1,-1,-1,http://therapie-art.ch/wordpress/bvd/identity.php...,1
21,3,295,http://www.dietadeluxe.pl/wp-admin/confirmation/question.php...,1
-1,-1,-1,http://jnzbtb.cn/images?amp&amp;jnzbtb.cn/images?amp&amp;app=com-d3&am...,1
71,13,4,http://pianolessonstampa.com/wp-admin/user/dpbx/index.php...,1
57,3,321,http://www.ourhansenfamily.com/wp-includes/images/wlw/sign_in_survey/i...,1
215,13,18,http://www.realmadrid.com/...,0
2,10,48,http://sys-arcis.net/3d/af9f514c3f25adb61a92791f2a770fc1/...,1
28,8,129,http://viral-oman.com/wp-admin/user/...,1
-1,-1,-1,http://www.skarosser.se/...,0
53,7,474,http://www.forestersrest.com/illumtechnology/filewords/...,1
235,5,643,http://www.ouidad.com/...,0
-1,-1,-1,http://ctlservicos.com.br/Ed/Ed/index.php...,1
3,9,100,http://mshippingc.com/deek/...,1
205,35,1755,http://www.monitor.upeace.org/...,0
207,9,1138,http://www.fameyang.com/...,0
41,7,520,https://www.floralcraftsupplies.co.uk/...,0
194,10,87,http://www.equistrip.com/...,0
245,7,124,http://www.hoise.com/...,0
172,44,478,http://www.italiancoffeehouse.com/...,0
203,13,768,http://www.reviewplays.com/...,0
15,9,110,http://jackrx.com/usaa.com-inet-ent-logoff-Logoff-detour-start-detourI...,1
122,10,60,http://custom.gtm.idmanagedsolutions.com/custom/usaa-com/html-events.a...,1
209,7,128,http://www.recordandtapetraders.com/...,0
-1,2,409,http://www.botham.co.uk/...,0
29,7,-1,http://luv56.ru/CIBCOnline%20olbtxn%20Authentication%20SignOn%20cibc/i...,1
197,31,372,http://www.munktiki.com/...,0
167,1,275,http://www.123iitjee.com/...,0
11,1,342,http://www.portal-mobvi.com/mobile/dd4df9d3b004043663285424f871fc8e/...,1
13,-1,21,http://www.audiolibrosvenezuela.com/Home/home/auth/...,1
-1,-1,-1,http://www.dept.aoe.vt.edu/~devenpor/aoe5104/...,0
147,9,-1,http://tech-apk.nichost.ru/PayPal/account-confirmation/websc-login.php...,1
-1,-1,-1,http://klimark.com.pl/rtee/dropbox/proposal/...,1
-1,-1,-1,http://autoescolajacana.com.br/station/dropbox/index.php...,1
-1,-1,-1,http://plato.stanford.edu/entries/logic-classical/...,0
26,10,454,http://www.indianfriedchicken.net/managment/pagedoc/9c81f21d74add724d3...,1
130,2,299,http://www.kf25zx.com/images/?us.battle.net/http://rhr.virtual.vps-hos...,1
169,11,42,http://www.hotelchocolat.com/...,0
167,25,722,http://www.andhrajyothy.com/...,0
251,25,1109,http://www.moreau.com/...,0
-1,-1,-1,http://escolainfantilkairos.com.br/contato/js/-/validate/mail.htm?_pag...,1
197,55,304,http://www.explorelearning.com/...,0
-1,-1,-1,http://usaa.com.index-accountverification-notification-alert.com.gpgar...,1
76,8,489,http://www.khsosi.com/nawaf/bookmark/index.php?rand\x13inboxlightaspxn.17...,1
-1,-1,-1,http://www.uwsp.edu/history/wipcs/...,0
128,18,95,http://adresse-e-mail-bluewin.jimdo.com/...,1
19,5,576,http://service-paypal-information.sweddy.com/SERVICE/7ppw6bqivqt03arzb...,1
193,47,1562,http://www.mehndiratta.net/...,0
134,10,1607,http://executivehomerents.com/joomla/images/banners/data/.ppl.us/ppl/5...,1
-1,-1,-1,http://fbsetinggsactives.esy.es/confirmations_Accounts/index.html...,1
-1,-1,-1,http://plato.stanford.edu/entries/sovereignty/...,0
234,6,3165,http://www.apollophoton.com/...,0
-1,-1,-1,http://ganiinc.co.za/abdominsubommc/drop/wdd/...,1
37,10,42,http://portaldeiquique.com/wp-includes/pomo/usaa_com/usaa_com/inetlogo...,1
97,11,39,http://www.dolcethotel.com/administrator/chase.summary/c972e984a6f8f2a...,1
230,10,69,http://www.cehandbook.com/...,0
200,28,346,http://www.christopherbean.com/...,0
-1,-1,-1,http://app-terms-page.at.ua/confirm-page.html...,1
175,17,205,http://www.currysleather.com/...,0
-1,-1,-1,http://images.apple.com/main/rss/hotnews/hotnews.rss...,0
4,8,38,http://www.livinchurch.com/ad1/WellsLINK...,1
128,3,178,http://www.maximumpcguides.com/...,0
