,create_age(months),expiry_age(months),update_age(days),URL,Label
1294,200,40,114,http://www.classteacher.com/...,0
4205,210,6,181,http://www.deadendrecords.com/...,0
3902,98,22,81,http://www.specialisttrading.com/charts/4rfv/Log-in-to-your-PayPal-acc...,1
970,-1,-1,-1,http://www.mingshun.com.tw/...,0
3762,181,11,426,http://www.jers.com/...,0
5123,-1,-1,-1,http://signin.ebay.de.ws.ebayisapi.dll.signin.usingssl.epc9b1bterrwrfb...,1
5828,-1,3,-1,http://los4acuerdos.com.mx/SEMS/new.admin.account/fcb3ac36d42bb3f02ca8...,1
2833,130,2,299,http://www.kf25zx.com/images/?us.battle.net/login/en/?ref=http:...,1
6922,-1,-1,-1,http://cgm.cs.mcgill.ca/~godfried/teaching/pr-web.html...,0
5530,3,9,79,http://www.monfactufree.com/freemobilemoncompte589/73677fc90f6b57e994b...,1
4709,-1,-1,-1,http://www.roseiradevistaalegre.com.br/sin/Outloook/login%20(2).html...,1
5169,245,55,251,http://www.sen-dure.com/...,0
6905,-1,-1,-1,http://projects.exeter.ac.uk/RDavies/arian/scandals/...,1
994,41,7,151,http://vega-books.com/language/fr-FR/.as/Alibaba.com.php?userid=abuse@...,1
4241,262,50,359,http://www.journals.cup.org/action/displayJournal?jid=QRB...,0
2841,-1,-1,-1,http://www.airtel.in/digital-tv/home/...,1
2759,178,2,2217,http://www.robotslife.com/...,0
6644,147,9,1463,http://www.naamras.com/Dropbox/dropboxLanre/dropbox/proposal/...,1
2799,226,14,8,http://hiroba.dqx.jp.izcel.usa.cc/account/app/svc/login.html...,1
203,-1,-1,-1,http://www.commence.nu/tmp/b7/...,1
4643,233,7,3083,http://www.cheap-cds.com/...,0
608,169,23,51,http://www.robertnz.net/nm_intro.htm...,0
3820,95,1,332,http://www.soccerpie.com/man-utd-latest-news.html...,0
3755,178,2,307,http://twoloonscoffee.com/...,0
195,216,12,145,http://www.grandcanyonbiblio.org/...,0
1334,186,18,186,http://www.gbradhopkins.com/...,0
1587,-1,-1,-1,http://silveirapiresadvogados.com.br/test/confirm.php...,1
2648,192,12,5836,http://www.employdiversity.com/...,0
774,242,10,685,http://www.rasputinmusic.com/...,0
372,-1,-1,-1,http://arcavana.com/dew/Logon.html...,1
652,3,9,26,http://uwasaleh.org/View%20/gtex...,1
3107,52,8,143,http://maintenance-server.twomini.com/ID/recovery.inc.htm...,1
6444,165,27,936,http://www.russinoff.com/papers/gauss.html...,0
2014,-1,-1,-1,http://secom.tn/wp-admin/includes/remax/remax...,1
4353,37,11,972,http://handasapc.com/htd3.html...,1
5170,26,10,71,http://gazianteppenye.com/lv/casts1/...,1
5222,70,2,684,http://www.whippers.co.uk/...,0
6013,168,12,6,http://www.databasejournal.com/...,0
508,217,11,259,http://www.weddles.com/...,0
6380,109,11,33,http://www.heathervictoriaheld.com/wp-includes/SimplePie/Data/2153c968...,1
2685,226,14,8,http://secure.square.logindqxu.usa.cc/...,1
5138,-1,-1,-1,http://linkage.rockefeller.edu/...,0
1207,4,8,68,http://exposednaija.info/fb/mobile.html...,1
476,246,78,111,http://www.bevmo.com/...,0
1521,181,11,38,http://www.indiaeducationstat.com/...,0
4861,-1,-1,-1,http://www.airfixcommercial.com.au/wp-admin/maint/Permissions/b/iyk/au...,1
3220,210,30,51,http://www.fonts4teachers.com/...,0
3809,228,60,1669,http://www.perfumemart.com/...,0
4509,-1,-1,-1,http://4000simin.or.kr/plus/html/bookmark/ii.php?fid=4&amp;amp...,1
917,13,-1,21,http://cosureb.com/wp-content/g8634d010eacf55520/index2.php?login&amp;...,1
243,-1,-1,-1,http://rafagroup.es/9713tdij464dda...,1
5281,35,1,347,http://recover-webs-pages.fulba.com/email.htm...,1
2246,191,13,358,http://www.tysknews.com/Depts/gov_philosophy/phil_of_government.htm...,0
117,236,16,663,http://www.russellstover.com/...,0
3468,-1,-1,-1,http://aleph0.clarku.edu/~djoyce/mathhist/...,0
2397,228,60,1213,http://www.powergridindia.com/...,0
5773,26,10,454,http://www.indianfriedchicken.net/managment/pagedoc/1351e860932172314c...,1
2552,218,58,92,http://www.hannakrausecandy.com/...,0
2626,160,8,117,http://www.totalitea.com/...,0
6378,-1,-1,-1,http://www.futurebookkeeping.com.au/db/Barcs/b2.htm...,1
2521,54,6,208,http://www.bakewelltarts.co.uk/...,0
984,61,11,41,http://www.brokeragelv.com/wp-content/uploads/2012/03/Zone1/...,1
1054,217,35,978,http://www.quia.com/jg/65626.html...,0
6452,-1,-1,-1,http://www.naas.ae/acct/googledrive...,1
3463,78,6,192,http://www.warlicksbc.org/wp/wp-includes/aolupdate.htm...,1
5982,-1,-1,-1,http://www.sdk.co.jp/...,0
